index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
0,89.132,2.4088333333333334,4.0,0.726,8,2,47.74095343527295
1,76.364,1.9819666666666669,4.0,0.0439,21,11,56.50952757362215
2,172.286,3.5339666666666667,4.0,0.292,4,0,17.826993274790368
3,96.996,1.9819666666666669,4.0,0.771,13,13,43.89579374022435
4,129.012,4.212883333333333,4.0,0.49,3,0,13.292558936278796
5,107.674,4.67045,3.0,0.283,11,1,9.84915800404672
6,122.361,3.1288833333333335,4.0,0.82,14,9,43.465986267731296
7,75.646,5.499333333333333,4.0,0.223,6,1,5.455206691720209
8,120.042,3.588,4.0,0.762,7,4,21.181716833890746
9,98.094,4.200433333333334,4.0,0.562,4,0,15.950735241602056
10,150.19,5.0520000000000005,4.0,0.558,9,5,11.480601741884401
11,116.74,4.035116666666666,4.0,0.766,4,0,46.343145799171445
12,128.945,4.028216666666667,4.0,0.664,10,1,32.76884311916356
13,107.0,4.264216666666667,4.0,0.252,5,1,27.43763020171739
14,147.922,3.8499833333333333,4.0,0.662,7,2,29.091035026125656
15,86.997,3.4701999999999997,3.0,0.366,4,0,19.883580197106795
16,166.312,4.808883333333333,4.0,0.864,6,0,22.458436296714762
17,102.012,4.7877833333333335,4.0,0.624,4,3,23.39287144015846
18,99.307,3.4806666666666666,4.0,0.733,7,1,21.5475962459299
19,113.382,2.9488833333333333,4.0,0.114,39,34,62.39650037019663
20,112.014,4.1575,4.0,0.71,12,2,38.00360793746242
21,119.4,5.235333333333333,4.0,0.284,4,0,9.359480453329938
22,106.958,3.428116666666667,4.0,0.53,5,1,14.876973265203926
23,70.948,3.2105666666666663,3.0,0.0259,32,24,35.819221944205076
24,125.825,6.581116666666667,4.0,0.571,9,3,17.01838847004181
25,107.969,4.1146666666666665,4.0,0.543,5,2,19.928710304601427
26,125.921,3.4122166666666667,4.0,0.96,11,5,24.03129930201775
27,139.131,3.6008833333333334,4.0,0.834,7,0,19.439674524306536
28,149.771,3.4346166666666664,4.0,0.262,6,0,19.216118247062994
29,99.961,3.21765,4.0,0.578,5,0,19.26872096094976
30,91.873,3.35,4.0,0.372,4,1,31.34328358208955
31,141.946,4.289333333333333,4.0,0.616,6,2,19.117189928504818
32,92.004,2.6854,4.0,0.631,4,0,27.92880017874432
33,67.016,3.764216666666667,3.0,0.136,30,26,19.92446414260603
34,89.749,3.6851166666666666,4.0,0.242,8,2,37.71929427833583
35,79.463,3.772666666666667,4.0,0.285,18,16,20.675030924191553
36,82.642,3.26795,4.0,0.111,6,1,26.010189874386082
37,115.669,7.063999999999999,4.0,0.902,11,3,27.746319365798417
38,117.2,4.521333333333333,3.0,0.584,6,0,36.49365968740785
39,144.892,3.33965,4.0,0.363,5,2,46.412049166828865
40,159.164,2.9066666666666667,4.0,0.926,3,1,14.793577981651376
41,134.629,4.341116666666666,3.0,0.358,5,1,13.130262182925286
42,142.929,2.1843999999999997,4.0,0.789,4,0,60.88628456326681
43,172.984,4.4895499999999995,4.0,0.959,12,7,26.951476205855823
44,151.186,5.23555,4.0,0.398,47,44,37.245370591437386
45,149.902,3.97955,4.0,0.464,32,20,27.138746843236042
46,87.973,4.254666666666667,3.0,0.478,11,6,13.39705421497963
47,169.519,2.3797833333333336,4.0,0.683,9,7,45.80248902210985
48,92.069,4.451333333333333,4.0,0.83,7,1,17.74749138834806
49,89.467,3.4678833333333334,4.0,0.102,15,9,27.970952502246806
50,83.995,2.6666666666666665,4.0,0.548,6,3,21.375
51,138.697,4.05955,3.0,0.896,9,2,29.559926592848964
52,145.104,3.247466666666667,5.0,0.405,13,3,14.164887502052881
53,117.046,4.897116666666666,4.0,0.654,4,1,13.68152007814122
54,138.45,8.614883333333333,4.0,0.481,7,2,38.886191145943165
55,84.407,6.781116666666667,4.0,0.101,24,13,11.355061973568759
56,143.022,3.546883333333333,4.0,0.91,13,7,42.00871187380471
57,123.015,1.7861666666666667,4.0,0.245,15,14,23.514043109079033
58,92.64,3.7373333333333334,4.0,0.139,12,0,21.673207277916518
59,131.712,12.112833333333333,4.0,0.26,8,4,18.823011406634837
60,129.937,4.4761,4.0,0.364,14,8,21.447242018721656
61,83.72,2.723116666666667,4.0,0.307,13,4,23.135255558887792
