index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
0,114.623,3.33845,4.0,0.81,4,0,1.1981608231364855
1,113.253,4.013333333333334,4.0,0.805,2,0,0.4983388704318937
2,188.386,4.258216666666667,4.0,0.7,6,1,1.409040560798143
3,125.988,4.579116666666667,4.0,0.686,3,0,0.6551481908810651
4,113.375,3.149783333333333,4.0,0.833,3,0,0.9524464645716373
5,99.437,4.568883333333333,4.0,0.76,3,0,0.6566155844061095
6,109.975,3.57755,4.0,0.528,6,0,1.6771254070523123
7,124.618,7.1626666666666665,4.0,0.725,12,3,1.6753536857781088
8,80.544,3.841333333333333,4.0,0.64,4,0,1.0413051023950017
9,95.261,6.16,4.0,0.721,5,1,0.8116883116883117
10,115.099,4.173333333333334,4.0,0.594,4,0,0.9584664536741213
11,132.77,2.3462166666666664,4.0,0.663,3,0,1.2786542873988622
12,93.19,4.522216666666667,4.0,0.464,8,4,1.7690439423144253
13,145.703,3.548216666666667,4.0,0.734,4,0,1.1273268731240575
14,148.217,5.84,4.0,0.868,9,0,1.5410958904109588
15,111.539,4.94155,3.0,0.693,3,0,0.6070969635033542
16,144.774,2.814,4.0,0.929,4,0,1.4214641080312722
17,87.559,4.6146666666666665,4.0,0.901,6,0,1.3002022536839064
18,126.47,5.881766666666667,4.0,0.989,3,0,0.5100508350665617
19,117.401,4.232,4.0,0.452,7,5,1.6540642722117203
20,92.726,3.187116666666667,4.0,0.462,8,2,2.5101057905002953
21,80.617,8.47,3.0,0.536,7,1,0.8264462809917354
22,115.728,3.4733333333333336,4.0,0.913,6,3,1.7274472168905948
23,111.353,5.494666666666666,4.0,0.828,2,0,0.36398932297985925
24,94.379,2.91955,4.0,0.716,2,0,0.6850370776318268
25,132.77,2.3462166666666664,4.0,0.663,3,0,1.2786542873988622
26,115.669,7.063999999999999,4.0,0.902,9,1,1.2740656851642131
27,138.45,8.614883333333333,4.0,0.481,11,5,1.2768600077772383
28,75.977,3.708883333333333,4.0,0.813,5,0,1.3481146616456885
29,159.914,3.69645,4.0,0.536,3,0,0.8115894980318955
30,147.245,4.923333333333333,4.0,0.7,8,3,1.6249153689911986
31,112.937,2.4375,4.0,0.932,6,2,2.4615384615384617
32,135.653,3.86555,4.0,0.906,3,3,0.7760861973069809
33,142.079,3.4313166666666666,4.0,0.553,5,2,1.4571665881415783
34,110.936,4.477783333333333,4.0,0.731,6,1,1.339948709741055
35,121.664,4.6208833333333335,4.0,0.73,1,0,0.21640883957973403
36,129.983,3.74845,4.0,0.682,7,0,1.8674385412637222
37,133.763,3.341333333333333,4.0,0.801,4,0,1.197126895450918
38,116.122,2.6722166666666665,4.0,0.47,6,3,2.2453269133615663
39,142.489,2.7242166666666665,4.0,0.969,9,5,3.3037019816093927
40,137.382,2.2375499999999997,4.0,0.939,9,4,4.022256485888584
41,153.24,3.852,4.0,0.901,13,4,3.374870197300104
42,103.885,7.245333333333334,4.0,0.722,5,0,0.6900993743099005
43,137.688,4.886383333333333,4.0,0.913,3,0,0.6139510135307983
44,137.148,4.36555,4.0,0.691,5,0,1.1453310579422982
45,93.503,3.4377833333333334,4.0,0.322,10,8,2.908851149238608
46,148.189,8.38445,4.0,0.711,3,0,0.3578052227635683
47,138.923,3.32,4.0,0.868,3,0,0.9036144578313253
48,109.535,4.770333333333334,4.0,0.755,4,1,0.8385158269862342
49,118.628,4.512883333333334,4.0,0.63,3,0,0.6647634734630113
50,120.059,5.510716666666666,4.0,0.472,4,1,0.7258584031720012
51,118.223,9.11845,4.0,0.834,7,2,0.7676743306154007
52,71.994,6.448449999999999,4.0,0.531,2,1,0.31015205204351437
53,115.099,4.173333333333334,4.0,0.594,4,0,0.9584664536741213
54,124.011,3.015716666666667,4.0,0.715,22,14,7.2951150362268775
55,100.626,4.41955,4.0,0.878,3,0,0.6788021404894163
56,117.459,4.331783333333333,4.0,0.919,4,0,0.9234072187359326
57,172.286,3.5339666666666667,4.0,0.292,3,0,0.8489044416566842
58,96.996,1.9819666666666669,4.0,0.771,12,12,6.054592240030945
59,75.646,5.499333333333333,4.0,0.223,5,1,0.9092011152867014
60,120.042,3.588,4.0,0.762,6,4,1.6722408026755853
61,150.19,5.0520000000000005,4.0,0.558,8,4,1.583531274742676
62,128.945,4.028216666666667,4.0,0.664,9,0,2.2342393035793338
63,147.922,3.8499833333333333,4.0,0.662,6,1,1.5584483049710172
64,86.997,3.4701999999999997,3.0,0.366,3,0,0.8645034868307303
65,102.012,4.7877833333333335,4.0,0.624,7,4,1.4620544650099037
66,99.307,3.4806666666666666,4.0,0.733,6,1,1.7238076996743918
67,119.4,5.235333333333333,4.0,0.284,3,0,0.5730294155099962
68,106.958,3.428116666666667,4.0,0.53,4,1,1.1668214325650137
69,125.825,6.581116666666667,4.0,0.571,8,3,1.215599176431558
70,139.131,3.6008833333333334,4.0,0.834,6,0,1.6662578163691315
71,99.961,3.21765,4.0,0.578,4,0,1.2431432878032105
72,91.873,3.35,4.0,0.372,3,0,0.8955223880597015
73,89.749,3.6851166666666666,4.0,0.242,7,2,1.8995328053838187
74,82.642,3.26795,4.0,0.111,5,1,1.5300111690815343
75,115.669,7.063999999999999,4.0,0.902,10,3,1.415628539071348
76,117.2,4.521333333333333,3.0,0.584,5,0,1.1058684753759955
77,144.892,3.33965,4.0,0.363,4,1,1.1977303010794544
78,149.902,3.97955,4.0,0.464,31,19,7.789825482780716
79,87.973,4.254666666666667,3.0,0.478,10,5,2.350360388592917
80,169.519,2.3797833333333336,4.0,0.683,8,6,3.361650570430081
81,89.467,3.4678833333333334,4.0,0.102,14,8,4.0370446910459306
82,83.995,2.6666666666666665,4.0,0.548,5,2,1.875
83,138.697,4.05955,3.0,0.896,8,1,1.9706617728565976
84,145.104,3.247466666666667,5.0,0.405,12,3,3.695188044013795
85,138.45,8.614883333333333,4.0,0.481,6,2,0.6964690951512209
86,84.407,6.781116666666667,4.0,0.101,23,12,3.39177175833872
87,123.015,1.7861666666666667,4.0,0.245,14,13,7.838014369693011
88,129.937,4.4761,4.0,0.364,13,8,2.9043140233685576
89,83.72,2.723116666666667,4.0,0.307,12,4,4.406715344550055
90,85.024,3.7721666666666667,4.0,0.526,6,0,1.5905977996730438
91,115.431,1.6337833333333334,3.0,0.123,7,1,4.284533852918074
92,143.883,5.905333333333333,4.0,0.402,49,35,8.297584104764056
93,137.042,4.068883333333334,4.0,0.209,3,0,0.7373030274481531
94,109.936,4.456666666666666,4.0,0.443,40,19,8.975317875841437
95,104.085,3.747783333333333,4.0,0.262,6,1,1.600946337168193
96,161.939,4.070666666666667,4.0,0.512,3,2,0.7369800196528005
97,78.049,7.98445,4.0,0.535,13,13,1.6281647452235282
98,143.994,3.8913,4.0,0.698,5,0,1.2849176367794823
99,79.342,3.91755,4.0,0.922,8,3,2.0420926344271293
100,135.975,3.0188833333333336,4.0,0.435,4,0,1.3249932370136859
101,76.023,2.6682833333333336,4.0,0.573,4,1,1.4990911759745653
102,135.596,4.593333333333334,4.0,0.823,12,8,2.6124818577648763
103,108.066,2.538883333333333,4.0,0.42,21,15,8.271352891363001
104,110.936,4.477783333333333,4.0,0.731,45,27,10.049615323057912
105,78.709,3.591333333333333,3.0,0.307,15,13,4.176721737516243
106,110.01,3.572,4.0,0.703,3,0,0.8398656215005599
107,90.43,3.033333333333333,4.0,0.384,7,0,2.307692307692308
108,120.403,3.07755,4.0,0.247,13,7,4.224139331611184
109,81.396,4.727333333333333,4.0,0.437,5,1,1.0576787477083627
110,75.801,3.4781166666666667,4.0,0.473,5,0,1.4375595988250345
111,127.994,4.877716666666667,3.0,0.437,3,0,0.6150418741009284
112,141.72,3.1733333333333333,3.0,0.365,3,1,0.9453781512605042
