index,Artist,Chords,Label,Song
0,weezer,"Am,Em,D,C,G",,island-in-the-sun
1,jimi-hendrix,"Bb,Cm,Ab",,all-along-the-watchtower
2,acdc,"A,D,C,B,E,G,A/C#",,back-in-black
3,david-bowie,"E,A,Bm,D",,rebel-rebel
4,the-clash,"A,G,D,F",,should-i-stay-or-should-i-go
5,aerosmith,"A,C,G,D",,sweet-emotion
6,queen,"Am,Em,A,C,B,G,F#m",,another-one-bites-the-dust
7,the-doors,"Am7,D#,A#,A,D,Bm7,B,E,G#,C,F,G,F#m",,light-my-fire
8,zz-top,"A,D,C,F,Eb",,la-grange
9,bob-dylan,"Em,C,Dm7,F,Dm,G",,like-a-rolling-stone
10,cream,"A,C,D,F,G",,sunshine-of-your-love
11,creedence-clearwater-revival,"D,G,C,F",,fortunate-son
12,janis-joplin,"A7,A,C,D,C/G,D7,E7,G7,G",,me-and-bobby-mcgee
13,steppenwolf,"A,D,E,C#,G",,born-to-be-wild
14,dire-straits,"A7,Bb,A,C,Fmaj,Cmaj,F,Bbmaj,Dm,Dmin",,sultans-of-swing
15,jefferson-airplane,"E,A,F#m,B",,somebody-to-love
16,kiss,"A,D,E,F,G",,rock-and-roll-all-nite
17,rush,"A,C,D,B,E,F#,G",,tom-sawyer
18,prince,"Em,G,F,Am",,when-doves-cry
19,the-police,"Dsus2,Gadd9,Csus2/Bb,Csus2,Aadd9,F,Eb,Emadd9",,every-breath-you-take
20,cheap-trick,"F#m/E,A,D,B,A/G#,E,D/C#,G,F#m",,i-want-you-to-want-me
21,led-zeppelin,"Bb,A,A#,D,C,B,F,G",,kashmir
22,acdc,"A,D,E,D/F#,G,D/A,Dsus4",,highway-to-hell
23,stevie-nicks,"Em,D,C",,edge-of-seventeen
24,joan-jett,"E,A,B",,i-love-rock-n-roll
25,creedence-clearwater-revival,"D,G,C,F",,fortunate-son
26,derek-and-the-dominos,"C#m7,A#,A,G#m,C,D,B,E,Dm,F#m",,layla
27,don-mclean,"A7,Am,Em7,G/B,Em,Am7,C,D,Cm,D7,D/F#,G",,american-pie
28,bob-dylan,"Am,Em,C,F,Dm,G",,hurricane
29,black-sabbath,"E,C,G,D",,paranoid
30,the-knack,"Bb,Csus4,Ebsus2,C,G5,D,F,Eb,G",,my-sharona
31,led-zeppelin,"A,C,B,E,C9,C7,F#m",,immigrant-song
32,acdc,"E5,G5,A5,D5",,dirty-deeds-done-dirt
33,van-halen,"Gsus4,Am/G,Am,C,Dm7,F",,jump
34,unknown,"Am,D,C,G#,F,D/F,G",,unknown
35,bruce-springsteen,"E,B",,born-in-the-usa
36,depeche-mode,"Bm,A,D,E,G#,C#,G,F#m",,personal-jesus
37,the-clash,"Em,D,C,F,G",,london-calling
38,creedence-clearwater-revival,"Am,Am/G,F/C,C,F,C/B,G",,have-you-ever-seen-the-rain
39,the-beatles,"A,Gadd9,D/C,D,C,E,D/C#,E7,Eb,D/B",,back-in-the-ussr
40,the-kinks,"C5,A,G5,C,D,F,F5,G,A5,D5",,you-really-got-me
41,the-pretenders,"Emadd9,C#m,Em7,Em,A,Bm,D,Asus2,B,E,Aaug,Dm,G,Asus4",,back-on-the
42,the-doors,"Dsus2,Am,Em,D,C,Dm",,riders-on-the-storm
43,ozzy-osbourne,"A,G,C,F",,crazy-train
44,heart,"A,D,C,E,F#,G",,barracuda
45,kansas,"Am,Am/G,G/B,Asus2,C,Dm7,D/F#,Cmaj7,G,Cadd9,Asus4",,dust-in-the-wind
46,ted-nugent,"D,A,G,C",,stranglehold
47,the-hollies,"E,A,G,B",,long-cool-woman-in-a-black-dress
48,eagles,"A,B7,C,D,E",,life-in-the-fast-lane
49,the-rolling-stones,"E,A,C#,B",,gimme-shelter
50,free,"Dsus2,A,D,D7,G",,all-right-now
51,lynyrd-skynyrd,"Em,Bb,C,D,F,D/F#,G,Dsus4",,free-bird
52,pink-floyd,"F#m7,Em,Bm7",,money
53,cream,"A,C,D,F,G",,sunshine-of-your-love
54,the-who,"Gsus4,Dsus4,A,Csus4,D,B,F#sus4,Bsus4,Em/G,C,Em/F#,F#m7,G,Bb,Bbsus4,F#,Bm/F#,Bsus4/F#,F#7,F#7sus4,E,Cadd9,Asus4",,pinball-wizard
55,the-rolling-stones,"E,A,C#m,B",,beast-of-burden
56,talking-heads,"A,C,D,F#,G",,once-in-a-lifetime
57,gary-jules,"D,A,Em,G",novice,mad-world
58,tatsuro-yamashita,"DbM9,GbM7,Eb9,Db9,Gbm7,GbM7/Ab,Dbm9,Abm9,B13,Ebm9,DbM7,Bbm7/Eb,Fm7",advanced,magic-ways
59,don-moen,"A,G,Em,D,E7,Bm",advanced,praise-the-lord-o-my-soul
60,post-malone,"C,Cmaj7,Fmaj7,Fm,F,C/B,Cmaj7/B",intermediate,circles
61,oasis,"Esus,Bmadd11,Asus2,G,Em7,E,Asus4,D,Bm",intermediate,stop-crying-your-heart-out
62,hozier,"C/G,B,G,C,Cm,Am,F,Em,D,F#",intermediate,take-me-to
63,taylor-swift,"G/B,G,C,Am,Em,D,C/E",novice,the-last-great-american-dynasty
64,lord-huron,"D,G,Em,C",novice,the-night-we-met
65,taylor-swift,"G,Cadd9,C,Em7,Am(7),D/F#,F,Am",novice,cornelia-street
66,the-beatles,"Dm,G,G7,C,Am,F,G#",intermediate,hello-goodbye
67,aaron-shust,"D,G,Em,C",intermediate,you-are-my-all-in-all
68,lewis-capaldi,"B,E,G#m,D#m,F#",novice,hold-me-while-you-wait
69,the-band,"A,B7,F#m,Em7,E,C#m,D,Bm,Bm7",advanced,it-makes-no-difference
70,bryan-adams,"A,Bb,G,C,F,D,Bm",novice,summer-of-69
71,lorde,"G,C,F,Am,Em",intermediate,team
72,sam-smith,"G,Am,Dm,C",novice,too-good-at-goodbyes
73,ed-sheeran,"Dm,Dm7,G,C,F,Am,Em,Fadd9",novice,supermarket-flowers
74,billie-eilish,"Dm,G,C,F#dim,F,Am",novice,when-the-partys-over
75,eric-clapton,"A,Bb,Dm,B,C#m7,G#7,F#m,C,E,D,E7",intermediate,layla
76,the-animals,"Dm,C,Am,F,E,D",novice,house-of-the-rising-sun
77,billie-eilish,"G/B,G,C,Em,Dsus2",novice,ocean-eyes
