index,Song,Artist,All Chords,Chords,Label,Link
0,better-days,strung-out,"['F', 'C', 'Dm', 'Bb', 'C/E', 'Gm', 'F/A', 'Am', 'F', 'F', 'C', 'F/A', 'C', 'F', 'C', 'Gm', 'Bb', 'C', 'F', 'C', 'Bb', 'Dm', 'C/E', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'Bb', 'Dm', 'C/E', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'Am', 'Bb', 'C', 'F', 'C', 'Am', 'Bb', 'C', 'F', 'C', 'Bb', 'Dm', 'C/E', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'Bb', 'Dm', 'C/E', 'F', 'Dm', 'Bb', 'F', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb', 'Gm', 'F', 'Bb', 'F', 'Gm', 'F', 'Bb', 'F', 'Gm', 'F', 'Bb', 'F', 'Gm', 'Bb', 'C', 'F', 'C', 'F/A', 'C', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb', 'F', 'C/E', 'Am', 'Bb']","Gm,C,Am,Dm,F/A,Bb,C/E,F",advanced,https://tabs.ultimate-guitar.com/tab/strung-out/better-days-chords-3291008
1,mary-had-a-little-lamb,paul-mccartney,"['E', 'E7', 'A', 'Abm7', 'F#m7', 'E', 'A', 'Abm', 'C#7', 'F#m7', 'B7', 'E', 'E7', 'A', 'E', 'F#m7', 'B7', 'E', 'E7', 'A', 'Abm7', 'C#7', 'F#m7', 'B7', 'E', 'C', 'E', 'C', 'E', 'E7', 'A', 'Abm7', 'F#m7', 'E', 'A', 'Abm', 'C#7', 'F#m7', 'B7', 'E', 'E7', 'A', 'E', 'F#m7', 'B7', 'E', 'E7', 'A', 'Abm7', 'C#7', 'F#m7', 'B7', 'E', 'C', 'E', 'C', 'E', 'E7', 'E7', 'G#', 'A', 'Abm7', 'F#m7', 'E', 'A', 'Abm', 'C#7', 'F#m7', 'B7', 'E', 'E7', 'A', 'E', 'F#m7', 'B7', 'E', 'E7', 'A', 'Abm7', 'C#7', 'F#m7', 'B7', 'E', 'C', 'E', 'C', 'F', 'F7', 'Bb', 'Am7', 'Gm7', 'F', 'Bb', 'Am', 'G#dim', 'Gm7', 'F', 'F7', 'Bb', 'F', 'Gm7', 'C7', 'F', 'F7', 'Bb', 'Am7', 'D7', 'Gm7', 'C7', 'F', 'Eb', 'C#']","C,D7,Abm,Bb,C7,F7,Abm7,B7,G#dim,Am7,Am,Eb,G#,F#m7,A,E7,C#7,E,Gm7,C#,F",advanced,https://tabs.ultimate-guitar.com/tab/paul-mccartney/mary-had-a-little-lamb-chords-1005767
2,mad-world,gary-jules,"['Em', 'A', 'Em', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em', 'A', 'Em']","Em,A,D,G",novice,https://tabs.ultimate-guitar.com/tab/gary-jules/mad-world-chords-97039
3,magic-ways,tatsuro-yamashita,"['DbM7', 'Ebm9', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM9', 'Abm9', 'Db9', 'GbM7', 'Fm7', 'GbM7', 'Fm7', 'Bbm7/Eb', 'Eb9', 'Ebm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'B13', 'Ebm9', 'GbM7/Ab', 'Dbm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM9', 'Abm9', 'Db9', 'GbM7', 'Fm7', 'GbM7', 'Fm7', 'Bbm7/Eb', 'Eb9', 'Ebm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'B13', 'Ebm9', 'GbM7/Ab', 'Gbm7', 'DbM7', 'Gbm7', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'B13', 'Ebm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7/Ab', 'DbM7', 'Ebm9', 'GbM7', 'GbM7/Ab', 'B13', 'Ebm9']","DbM7,Fm7,B13,DbM9,Bbm7/Eb,GbM7,Db9,Ebm9,GbM7/Ab,Gbm7,Dbm9,Eb9,Abm9",advanced,https://tabs.ultimate-guitar.com/tab/tatsuro-yamashita/magic-ways-chords-2798564
4,rhiannon,fleetwood-mac,"['Am', 'F', 'Am', 'F', 'Am', 'F', 'C', 'F', 'C', 'F', 'Am', 'F', 'Am', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'Am', 'F', 'Am', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am']","F,C,Am",novice,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/rhiannon-chords-1051646
5,let-it-be-me,the-everly-brothers,"['G', 'D', 'Em', 'Bm', 'C', 'G', 'C', 'G', 'G', 'D', 'Em', 'Bm', 'C', 'G', 'C', 'G', 'C', 'Bm', 'C', 'G', 'Am', 'Bm', 'C', 'B7', 'D', 'G', 'D', 'Em', 'Bm', 'C', 'G', 'C', 'G', 'G', 'A', 'D', 'E', 'C', 'D', 'Em', 'F#m', 'Bm', 'C#m', 'Am', 'Bm', 'B7']","Em,A,C,B7,Am,F#m,E,Bm,D,G,C#m",intermediate,https://tabs.ultimate-guitar.com/tab/the-everly-brothers/let-it-be-me-chords-1099551
6,grace-kelly,mika,"['G', 'D/F#', 'G', 'D/F#', 'G', 'G', 'D/F#', 'G', 'G', 'D/F#', 'G', 'G', 'G', 'Dm7', 'Am7', 'Dsus4', 'D', 'G', 'Dm7', 'Am7', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'G', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'G', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'G', 'G', 'Dm7', 'Am7', 'Dsus4', 'D', 'G', 'Dm7', 'Am7', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'C', 'Cm7', 'G', 'C', 'Cm7', 'F', 'G', 'D/F#', 'Em', 'D', 'A7/C#', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'G', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'Dsus4', 'D', 'G', 'G', 'Am7', 'G/B', 'C', 'C', 'D7sus4', 'D7', 'C', 'G/B', 'Am7', 'G/B', 'G', 'F', 'F']","Em,Dm7,C,Am7,D7,G,Cm7,D7sus4,A7/C#,G/B,Dsus4,D,D/F#,F",intermediate,https://tabs.ultimate-guitar.com/tab/mika/grace-kelly-chords-529330
7,praise-the-lord-o-my-soul,don-moen,"['D', 'A', 'G', 'A', 'D', 'A', 'G', 'D', 'Em', 'A', 'D', 'A', 'G', 'D', 'A', 'D', 'Em', 'G', 'D', 'Em', 'G', 'D', 'Bm', 'G', 'E7', 'A', 'D', 'A', 'D', 'G']","Em,A,Bm,D,G,E7",advanced,https://tabs.ultimate-guitar.com/tab/don-moen/praise-the-lord-o-my-soul-chords-544481
8,circles,post-malone,"['Cmaj7', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Cmaj7', 'C', 'F', 'C', 'F', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Cmaj7', 'F', 'Fm', 'Cmaj7', 'F', 'Fm', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'F', 'Fm', 'C', 'F', 'C', 'F', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Cmaj7', 'F', 'Fm', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Fm', 'Cmaj7', 'Fmaj7', 'Fm', 'C', 'C/B', 'F', 'Fm', 'C', 'C/B', 'F', 'Fm', 'Cmaj7', 'F', 'Fm', 'Cmaj7', 'F', 'Fm', 'Cmaj7', 'Cmaj7/B', 'Fmaj7', 'Fm', 'C', 'C/B', 'F', 'Fm']","C,Cmaj7,C/B,Fm,Cmaj7/B,Fmaj7,F",intermediate,https://tabs.ultimate-guitar.com/tab/post-malone/circles-chords-2794426
9,sober,demi-lovato,"['Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F']","C,F,G,Am",novice,https://tabs.ultimate-guitar.com/tab/demi-lovato/sober-chords-2408159
